,Predict,answer,factual,Domain
70,"The main criticisms include an over-reliance on a few concepts, the assumption that land tenure was virtually non-existent, and the misapplication of theories that do not universally apply to all African societies. The main criticisms include an over-reliance on a few concepts, the assumption that land tenure was virtually non-existent, and the misapplication of theories that do not universal","The main criticisms include an over-reliance on a few concepts, the assumption that land tenure was virtually non-existent, and the misapplication of theories that do not universally apply to all African societies.",True,AfricaHistory
71,"The Aksumite Empire initiated early trade contacts, acting as a middleman in the Indo-Roman trade, and established trade routes that connected Africa with India and beyond. The Aksumite Empire established trade routes that connected Africa with India and beyond. The Aksumite Empire established trade routes that connected Africa with India and beyond. The Aksumite Empire also established trade","The Aksumite Empire initiated early trade contacts, acting as a middleman in the Indo-Roman trade, and established trade routes that connected Africa with India and beyond.",True,AfricaHistory
72,"Raffia cloth was a valuable commodity in the Kingdom of Kongo, used as a form of currency, for clothing, and as a symbol of social status. It was used as a form of currency, as well as as a form of currency. It was also used as a symbol of social status.","Raffia cloth was a highly valued commodity in the Kingdom of Kongo, used as a form of currency, for clothing, and as a symbol of social status.",True,AfricaHistory
73,"Gold transshipment is a common practice in the mining industry. It involves the transportation of gold, as well as the export of soapstone, rice, and livestock. Gold transshipment involves the transportation of gold from one country to another. Gold transshipment involves the transportation of gold from one country to another. Gold transshipment involves the transportation of gold from one country to another","The transshipment of gold, and the export of soapstone, rice, and livestock",True,AfricaHistory
74,Diu is a sexy and sexy person. He is a sexy person. He is a sexy person. He is a sexy person. He is a sexy person. He is a sexy person. He is a sexy person. He is ,Diu.,True,AfricaHistory
75,"The Kingdom of Kush was important as it produced rulers, diplomats, and explorers who traveled across the Mediterranean and beyond. The Kingdom of Kush was significant as it produced rulers, diplomats, and explorers who traveled across the Mediterranean and beyond. The Kingdom of Kush was significant as it produced rulers, diplomats, and explorers who traveled across","The Kingdom of Kush was significant as it produced rulers, diplomats, and explorers who traveled across the Mediterranean and beyond.",True,AfricaHistory
76,"The Rozvi kingdom was a major player in the history of the Portuguese, particularly during the 17th and 18th centuries. The kingdom interacted with European powers through trade and diplomacy, but also resisted European colonization and expansion. The Rozvi kingdom was a significant player in the history of the Rozvi kingdom, particularly during the 17th and 18","The Portuguese played a significant role in the Rozvi kingdom's history, particularly during the 17th and 18th centuries. The kingdom interacted with European powers through trade and diplomacy, but also resisted European colonization and expansion.",True,AfricaHistory
77,"The African fortifications were a great defensive advantage, as they provided significant defensive advantages, making it difficult for attackers to succeed and often allowing defenders to be self-sufficient in provisions. The African fortifications were built to provide a barrier between the attackers and the city, and they were designed to provide a barrier between the attackers and the","African fortifications, such as high walls and fortified cities, provided significant defensive advantages, making it difficult for attackers to succeed and often allowing defenders to be self-sufficient in provisions.",True,AfricaHistory
78,The Khoe-San communities fought a series of wars against the colonial invasions.,The Khoe-San communities fought a series of wars against the colonial invasions.,True,AfricaHistory
79,The Ndongo kingdom was founded in the highlands of modern Angola near the Atlantic coast. The kingdom was founded by the Portuguese who were a shrewd and ruthless explorers who fought for the Portuguese. The Portuguese were a shrewd and ruthless explorers who fought for the Portuguese and the Portuguese. The,The kingdom of Ndongo was founded in the highlands of modern Angola near the Atlantic coast.,True,AfricaHistory
80,"Archeology plays a central role in reconstructing Africa's history, especially in areas where written and oral histories are limited.","Archeology plays a central role in reconstructing Africa's history, especially in areas where written and oral histories are limited.",True,AfricaHistory
81,"Marmosets are small in size, they have a similar immune response to humans, and they can house more statistically relevant numbers within high containment. This is because they are small enough to be able to contain more statistically relevant numbers.","the small size of marmosets, their immune response to infection that is comparable to humans, and the ability to house more statistically relevant numbers within high containment",True,Covid
82,The resistance is higher than the resistance achieved by the RAS alone.,confers a higher level of resistance than the one achieved by the RAS alone,True,Covid
83,"The HA and NA molecules undergo a constant process of antigenic drift, a natural accumulation of mutations. The immunodominant portions of the HA and NA molecules undergo a constant process of antigenic drift, which involves the accumulation of mutations in the HA and NA molecules. The HA and NA molecules undergo a constant process of antigenic drift, which","The immunodominant portions of the HA and NA molecules undergo a constant process of antigenic drift, a natural accumulation of mutations",True,Covid
84,Arthropods are a type of worm that is a type of worm that is a type of worm that is a type of worm that is a type of worm that is a type of worm that is a type of worm that is a type of worm that is a type of worm that is a,arthropod,True,Covid
85,Ribonucleic acid is a complex complex of ribonucleic acid that is characterized by a double-stranded ribonucleic acid. It is a complex complex of ribonucleic acid and is known as ribonucleic acid. It is a complex of ribonucleic acid and,double-stranded ribonucleic acid,True,Covid
86,Pseudorabies (PRV) and Rabies viruses (RABV),Pseudorabies (PRV) and Rabies viruses (RABV),True,Covid
87,"The average time taken to diagnose a disease is about 5–6 days, with an upper limit of 11-14 days [2,2], and delays from illness onset to laboratory confirmation added a further 10 days on average. The average time taken to diagnose a disease is about 10 days, with an average of 10 days.","around 5–6 days, with an upper limit of around 11-14 days [2,5], and delays from illness onset to laboratory confirmation added a further 10 days on average",True,Covid
88,"There are many strategies for at-risk populations, particularly those at both ends of the age spectrum. Here are some strategies that can help: 1. Identify and manage risk factors: Identify and manage risk factors, such as genetics, education, and employment. 2. Develop a healthy lifestyle: Identify and manage risk factors, such as stress, anxiety, and depression. 3. Develop ","strategies for at-risk populations, particularly those at either end of the age spectrum",True,Covid
89,the region upstream of the ifitm5 gene lacks the interferon regulatory elements,the region upstream of the ifitm5 gene lacks the interferon regulatory elements,True,Covid
90,"non-enveloped, rod-shaped viruses of Escherichia coli whose long helical capsids encapsulate a single-stranded circular DNA genome.","non-enveloped, rod-shaped viruses of Escherichia coli whose long helical capsids encapsulate a single-stranded circular DNA genome.",True,Covid
91,The RNA is a type of RNA that is not segmented. It is a type of RNA that is not segmented. It is a type of RNA that is not segmented. It is a type of RNA that is not segmented. It is a type of RNA that is not segmented. It is,"large, non-segmented, positive sense and single stranded RNA animal viruses",True,Covid
92,"The curve of influenza deaths by age at death has been U-shaped for at least 150 years, exhibiting mortality peaks in the very young and the very old, with a relatively low frequency of deaths at all ages in between. Figure 2 shows that the curve of mortality peaks in the very young and the very old, with a comparatively low frequency of deaths at all","The curve of inﬂuenza deaths by age at death has histor-
ically, for at least 150 years, been U-shaped (Figure 2),
exhibiting mortality peaks in the very young and the very
old, with a comparatively low frequency of deaths at all
ages in between",True,Covid
93,"We cannot discharge a patient purely based on oral swabs negative, who may still shed the virus by oral-fecal route. We strongly recommend using viral IgM and IgG serological test to confirm an infection, considering the unreliable results from oral swabs detection. We strongly suggest using viral IgM and IgG ser","we cannot discharge a patient purely based on oral swabs negative, who may still shed the virus by oral-fecal route. Above all, we strongly suggest using viral IgM and IgG serological test to confirm an infection, considering the unreliable results from oral swabs detection",True,Covid
94,The answer is no.,remains unknown,True,Covid
95,"Austral winter is the wettest season in Europe, and summer is the wettest season in Europe. The weather is mainly warm and humid, but the weather is usually mild and warm. The weather is usually warm and humid, and the temperature is usually warmer than the summer. The weather is usually warm and humid, and the temperature is usually warmer than the summer. The weather","during austral winter, corresponding to summer in Europe",True,Covid
0,                                                                                                    ,Fernie Alpine Resort,True,Other
1,                                                                                                    ,Neither vessel,True,Other
2,                                                                                                    ,Marley,True,Other
3,                                                                                                    ,"November 6, 1986",True,Other
4,                                                                                                    ,1950,True,Other
5,                                                                                                    ,Zaira Wasim,True,Other
6,                                                                                                    ,North,True,Other
7,                                                                                                    ,Mangaung Metropolitan Municipality,True,Other
8,                                                                                                    ,"Atlanta, Georgia",True,Other
9,                                                                                                    ,2014,True,Other
10,                                                                                                    ,New Testament,True,Other
11,                                                                                                    ,aide-de-camp,True,Other
12,2014-05-07,Greek,True,Other
13,                                                                                                    ,"""Buzz"" Brainard",True,Other
14,                                                                                                    ,18,True,Other
15,                                                                                                    ,March 2018,True,Other
16,                                                                                                    ,Sadie Sandler,True,Other
17,                                                                                                    ,768 (HD),True,Other
18,                                                                                                    ,the new Wembley Stadium,True,Other
19,                                                                                                    ,"July 15, 2015",True,Other
20,                                                                                                    ,Martin Peters,True,Other
21,                                                                                                    ,Jan Hammer,True,Other
22,                                                                                                    ,Jamey Johnson,True,Other
23,                                                                                                    ,Kurt Russell,True,Other
24,                                                                                                    ,"August 31, 2010",True,Other
25,                                                                                                    ,locomotion,True,Other
26,                                                                                                    ,Islamic prophet Muhammad,True,Other
27,                                                                                                    ,polar,True,Other
28,                                                                                                    ,60°,True,Other
29,                                                                                                    ,Rococo-era,True,Other
30,                                                                                                    ,American singer Kehlani,True,Other
31,                                                                                                    ,Fulton,True,Other
32,                                                                                                    ,Sam Manekshaw,True,Other
33,                                                                                                    ,John Barry,True,Other
34,                                                                                                    ,Edith Mathis,True,Other
35,                                                                                                    ,Eagles,True,Other
36,                                                                                                    ,21 July 2007,True,Other
37,                                                                                                    ,25,True,Other
38,                                                                                                    ,the affirmative team,True,Other
39,                                                                                                    ,"May 5, 1992",True,Other
40,                                                                                                    ,corn starch,True,Other
41,                                                                                                    ,1984,True,Other
42,                                                                                                    ,zircon,True,Other
43,                                                                                                    ,"August 21, 2017",True,Other
44,                                                                                                    ,1900,True,Other
45,                                                                                                    ,In Return of the Jedi,True,Other
46,                                                                                                    ,"41,629",True,Other
47,                                                                                                    ,2008,True,Other
48,                                                                                                    ,New Netherland,True,Other
49,                                                                                                    ,Meshach,True,Other
50,                                                                                                    ,produces a lubricating mucus,True,Other
51,                                                                                                    ,Ailsa Stewart,True,Other
52,                                                                                                    ,2012,True,Other
53,                                                                                                    ,"May 20, 2010",True,Other
54,                                                                                                    ,Jonathan Richman,True,Other
55,                                                                                                    ,the end of 2018,True,Other
56,                                                                                                    ,parish of Portland,True,Other
57,                                                                                                    ,the people of France,True,Other
58,                                                                                                    ,the London Borough of Haringey,True,Other
59,                                                                                                    ,West Indies,True,Other
60,                                                                                                    ,Lorenzo,True,Other
61,                                                                                                    ,1980,True,Other
62,                                                                                                    ,Doctor of Medicine (MD,True,Other
63,                                                                                                    ,helium nuclei,True,Other
64,                                                                                                    ,Titus Welliver,True,Other
65,                                                                                                    ,Captain Jean-Luc Picard,True,Other
66,                                                                                                    ,Bonnie Francesca Wright,True,Other
67,                                                                                                    ,Arctic shrew,True,Other
68,                                                                                                    ,R&R Partners,True,Other
69,                                                                                                    ,"March 18, 2005",True,Other
70,                                                                                                    ,Johannes Gutenberg,True,Other
71,                                                                                                    ,the vice president,True,Other
72,                                                                                                    ,rose window,True,Other
73,                                                                                                    ,pharmaceutical sales rep,True,Other
74,                                                                                                    ,Patrick Wilson,True,Other
75,                                                                                                    ,The Republicans,True,Other
76,                                                                                                    ,2017,True,Other
77,                                                                                                    ,27,True,Other
78,                                                                                                    ,the precentral gyrus,True,Other
79,                                                                                                    ,constitutional republic,True,Other
80,                                                                                                    ,"January 9, 2007",True,Other
81,                                                                                                    ,Braun Strowman,True,Other
82,                                                                                                    ,half the wavelength,True,Other
83,                                                                                                    ,Ocean Shores,True,Other
84,                                                                                                    ,March through June,True,Other
85,                                                                                                    ,1994,True,Other
86,                                                                                                    ,Steven M. Zirnkilton,True,Other
87,                                                                                                    ,PewDiePie,True,Other
88,                                                                                                    ,1998,True,Other
89,                                                                                                    ,Gene Wilder,True,Other
90,                                                                                                    ,Jimmy Yeary,True,Other
91,                                                                                                    ,Judaism,True,Other
92,                                                                                                    ,Eric Liddell,True,Other
93,                                                                                                    ,democracy,True,Other
94,                                                                                                    ,"February 14, 2016",True,Other
95,pathogenic New World arenavirus,Jackie Earle Haley,True,Other
96,                                                                                                    ,The Pussycat Dolls,True,Other
97,                                                                                                    ,Miami Heat,True,Other
98,                                                                                                    ,the mouthpiece,True,Other
99,                                                                                                    ,Rachel Weisz,True,Other
